#OPEN_EXPORT: 2020.4.14.1354
#Datum vytvoøení souboru: 15.04.2020 13:20
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B1HODO01;Hodonín;01.01.1961;31.08.1971;17,1317;48,8575;180
B1HODO01;Hodonín;01.09.1971;31.12.1972;17,1358;48,8536;180
B1HODO01;Hodonín;01.01.1973;30.06.1977;17,1206;48,8456;160
B1HODO01;Hodonín;01.07.1977;31.07.1978;17,1208;48,8564;187
B1HODO01;Hodonín;01.11.1978;30.06.1980;17,1419;48,8658;186
B1HODO01;Hodonín;01.05.1981;30.04.1986;17,1403;48,8594;164
B1HODO01;Hodonín;01.09.1986;29.02.1992;17,1444;48,8628;164
B1HODO01;Hodonín;01.08.1992;09.06.2003;17,0972;48,8314;161
B1HODO01;Hodonín;10.06.2003;30.11.2017;17,1456;48,8617;174
B1HODO01;Hodonín;01.12.2017;31.12.2019;17,104872;48,854292;172

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje
Anemoindikátor;01.01.1961;31.07.1978;10
Anemoindikátor;01.11.1978;30.06.1980;10

PRVEK
Prùmìrná denní rychlost vìtru [F.AVG, m/s]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1962;01;29;8,3;
1962;01;30;12;
1962;01;31;4,7;
1962;02;1;1;
1962;02;2;,3;
1962;02;3;3,3;
1962;02;4;0;
1962;02;5;1;
1962;02;6;1,3;
1962;02;7;1;
1962;02;8;2,7;
1962;02;9;1;
1962;02;10;1;
1962;02;11;,7;
1962;02;12;5,3;
1962;02;13;0;
1962;02;14;4,7;
1962;02;15;4,7;
1962;02;16;4,3;
1962;02;17;9;
1962;02;18;10;
1962;02;19;2,7;
1962;02;20;2,3;
1962;02;21;2,7;
1962;02;22;5,3;
1962;02;23;3,3;
1962;02;24;3;
1962;02;25;2;
1962;02;26;3,3;
1962;02;27;1;
1962;02;28;3,3;
1962;03;1;1,7;
1962;03;2;1,3;
1962;03;3;2,3;
1962;03;4;3,3;
1962;03;5;3,3;
1962;03;6;3,3;
1962;03;7;3,3;
1962;03;8;2;
1962;03;9;4;
1962;03;10;7,3;
1962;03;11;2,7;
1962;03;12;2;
1962;03;13;2,3;
1962;03;14;2;
1962;03;15;6,3;
1962;03;16;15;
1962;03;17;7,3;
1962;03;18;1,3;
1962;03;19;,7;
1962;03;20;2;
1962;03;21;3;
1962;03;22;2;
1962;03;23;2,7;
1962;03;24;1,7;
1962;03;25;1,7;
1962;03;26;5,3;
1962;03;27;,7;
1962;03;28;,7;
1962;03;29;1,7;
1962;03;30;1,3;
1962;03;31;1,3;
1962;04;1;2,3;
1962;04;2;2;
1962;04;3;6,7;
1962;04;4;3;
1962;04;5;1,3;
1962;04;6;8;
1962;04;7;7,7;
1962;04;8;4;
1962;04;9;,7;
1962;04;10;2;
1962;04;11;1,7;
1962;04;12;1,3;
1962;04;13;1,7;
1962;04;14;6;
1962;04;15;5,7;
1962;04;16;3,3;
1962;04;17;6;
1962;04;18;10;
1962;04;19;6,3;
