"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"geometry";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B2DYJA01";16.2992;48.7733;201;"Dyjákovice";"Dyjákovice";"AKS1";"POINT (16.2992 48.7733)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2DZBA01";16.2092;49.0028;337;"Džbánice";"Džbánice";"ASS";"POINT (16.2092 49.0028)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2HAJE01";16.4725;49.3731;409;"Tišnov";"Tišnov, Hájek";"AKS2";"POINT (16.4725 49.3731)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
"B2HRAS01";16.4875;49.7311;446;"Hradec nad Svitavou";"Hradec nad Svitavou";"ASS";"POINT (16.4875 49.7311)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2HROT01";16.0588;49.1105;425;"Hrotovice";"Hrotovice";"MSS";"POINT (16.0588 49.1105)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2HRUS01";16.9739;48.7919;174;"Hrušky";"Hrušky";"MSS";"POINT (16.9739 48.7919)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2HUBE01";15.4669;49.3931;570;"Hubenov";"Hubenov";"AKS1";"POINT (15.4669 49.3931)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2HUST01";16.7258;48.9456;201;"Hustopece";"Hustopece";"MSS";"POINT (16.7258 48.9456)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2HYSL01";17.18;49.021389;217;"Hýsly";"Hýsly";"MSS";"POINT (17.18 49.021389)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2JARS01";16.2325;48.7553;190;"Jaroslavice";"Jaroslavice";"MSS";"POINT (16.2325 48.7553)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2JEMN01";15.59;49.025;502;"Jemnice";"Jemnice";"ASS";"POINT (15.59 49.025)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2JIHL01";15.6164;49.4064;468;"Jihlava";"Jihlava, Hruškové Dvory";"AKS3";"POINT (15.6164 49.4064)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
"B2JIHL01";15.6164;49.4064;468;"Jihlava";"Jihlava, Hruškové Dvory";"AKS3";"POINT (15.6164 49.4064)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
"B2KADO01";16.0781;49.6358;672;"Kadov";"Kadov";"ASS";"POINT (16.0781 49.6358)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2KLOB01";16.8767;48.9961;205;"Klobouky u Brna";"Klobouky u Brna";"MSS";"POINT (16.8767 48.9961)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2KMYS01";15.439167;49.159167;569;"Kostelní Myslová";"Kostelní Myslová";"AMS1";"POINT (15.439167 49.159167)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B2KNIN01";16.692288;49.537004;369;"Knínice u Boskovic";"Knínice u Boskovic";"MSS";"POINT (16.692288 49.537004)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2KOBY01";16.8814;48.9394;175;"Kobylí";"Kobylí";"AKS1";"POINT (16.8814 48.9394)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2KORC01";17.17;49.1028;305;"Korycany";"Korycany";"MSS";"POINT (17.17 49.1028)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2KRIZ01";16.0667;49.6833;615;"Križánky";"Križánky, Moravské Križánky";"MSS";"POINT (16.0667 49.6833)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2KUCH01";16.085278;48.881111;334;"Kucharovice";"Kucharovice";"AMS1";"POINT (16.085278 48.881111)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B2KURI01";16.5322;49.3006;291;"Kurim";"Kurim";"MSS";"POINT (16.5322 49.3006)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2LANZ01";16.9575;48.724722;158;"Lanžhot";"Lanžhot";"MSS";"POINT (16.9575 48.724722)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2LAZT01";15.786675;49.013078;432;"Láz";"Láz";"MSS";"POINT (15.786675 49.013078)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2LEDN01";16.798895;48.792616;177;"Lednice";"Lednice";"AKS2";"POINT (16.798895 48.792616)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2LETO01";16.5767;49.5544;334;"Letovice";"Letovice";"MSS";"POINT (16.5767 49.5544)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2LISE01";16.183611;49.583611;688;"Lísek";"Lísek";"MSS";"POINT (16.183611 49.583611)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2LUKO01";15.9077;48.8566;403;"Lukov";"Lukov";"MSS";"POINT (15.9077 48.8566)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2MBRA01";16.4494;49.0825;210;"Moravské Bránice";"Moravské Bránice";"MSS";"POINT (16.4494 49.0825)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2MBUD01";15.8067;49.0611;460;"Moravské Budejovice";"Moravské Budejovice";"AKS2";"POINT (15.8067 49.0611)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2MIKU01";16.6401;48.801911;224;"Mikulov";"Mikulov";"MSS";"POINT (16.6401 48.801911)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
